23_d500_44_0_badger_2017-05-01,2_d500_69_2279_0_badger_2019-08-01,30_d500_87_0_badger_2015-06-01,3_d500_125_0_badger_2013-11-01,3_d500_128_0_badger_2013-07-01,3_d500_147_0_badger_2020-02-01,3_d500_148_0_badger_2016-04-01,3_d500_149_0_badger_2018-07-01,3_d500_149_1_badger_2017-07-01,3_d500_149_2_badger_2013-05-01,3_d500_152_0_badger_2016-08-01,3_d500_152_1_badger_2017-05-01,3_d500_154_1006_0_badger_2020-02-01,3_d500_167_0_badger_2017-06-01,3_d500_168_1232_0_badger_2019-08-01,3_d500_169_0_badger_2020-02-01,3_d500_169_1_badger_2019-07-01,3_d500_170_0_badger_2017-05-01,3_d500_170_1_badger_2019-07-01,3_d500_170_2_badger_2014-09-01,3_d500_170_3_badger_2018-11-01,3_d500_171_1242_0_badger_2016-02-01,3_d500_171_1242_1_badger_2016-06-01,3_d500_171_1242_2_badger_2019-07-01,3_d500_171_1242_3_badger_2020-02-01,3_d500_171_1242_4_badger_2020-02-01,3_d500_173_0_badger_2020-02-01,3_d500_173_1_badger_2017-10-01,3_d500_186_0_badger_2015-12-01,3_d500_187_0_badger_2017-02-01,3_d500_187_1_badger_2020-02-01,3_d500_187_2_badger_2017-06-01,3_d500_192_0_badger_2020-02-01,3_d500_192_1_badger_2018-07-01,3_d500_192_2_badger_2018-08-01,3_d500_197_0_badger_2015-06-01,3_d500_204_0_badger_2017-11-01,3_d500_263_0_badger_2014-09-01,3_d500_268_0_badger_2015-11-01,40007001_0_cattle_2015-12-01,40007040_0_cattle_2014-05-01,40007040_1_cattle_2014-05-01,40007040_2_cattle_2014-03-01,40007040_3_cattle_2014-03-01,40007040_4_cattle_2014-03-01,40007040_5_cattle_2014-05-01,40007040_6_cattle_2014-05-01,40007040_7_cattle_2014-03-01,40007040_8_cattle_2014-05-01,40007_10_boar_2020-02-01,40007_11_boar_2017-12-01,40007_12_boar_2020-02-01,40007_13_boar_2020-02-01,40007_2_boar_2014-06-01,40007_3_boar_2016-08-01,40007_4_boar_2014-03-01,40007_5_boar_2015-02-01,40007_6_boar_2015-10-01,40007_7_boar_2016-06-01,40007_9_boar_2020-02-01,40027008_0_cattle_2016-01-01,40027008_1_cattle_2016-03-01,40027009_0_cattle_2012-05-01,40027009_1_cattle_2011-09-01,40027009_2_cattle_2012-05-01,40027009_3_cattle_2012-04-01,40027009_4_cattle_2012-05-01,40027009_5_cattle_2012-05-01,40027009_6_cattle_2013-12-01,40027_0_boar_2017-03-01,40027_1_boar_2016-05-01,40027_2_boar_2017-06-01,40027_3_boar_2015-09-01,40027_4_boar_2015-12-01,40069028_0_cattle_2013-10-01,40188008_0_cattle_2014-08-01,40188008_10_cattle_2014-08-01,40188008_11_cattle_2014-08-01,40188008_12_cattle_2014-08-01,40188008_13_cattle_2014-08-01,40188008_14_cattle_2014-08-01,40188008_15_cattle_2014-08-01,40188008_16_cattle_2014-08-01,40188008_17_cattle_2014-08-01,40188008_18_cattle_2014-08-01,40188008_19_cattle_2014-08-01,40188008_1_cattle_2014-08-01,40188008_20_cattle_2014-08-01,40188008_21_cattle_2014-08-01,40188008_22_cattle_2014-08-01,40188008_23_cattle_2014-08-01,40188008_24_cattle_2014-08-01,40188008_2_cattle_2014-08-01,40188008_3_cattle_2014-08-01,40188008_4_cattle_2014-08-01,40188008_5_cattle_2014-08-01,40188008_6_cattle_2014-07-01,40188008_7_cattle_2014-08-01,40188008_8_cattle_2014-08-01,40188008_9_cattle_2014-08-01,40188_0_boar_2013-07-01,40188_1_boar_2013-06-01,40188_2_boar_2012-11-01,40188_3_boar_2015-05-01,40188_4_boar_2016-10-01,40188_5_boar_2019-09-01,40188_6_boar_2016-07-01,40223027_0_cattle_2013-06-01,40223027_1_cattle_2018-05-01,40223027_2_cattle_2018-09-01,40223_0_boar_2016-03-01,40223_2_boar_2017-11-01,40223_3_boar_2018-05-01,40223_4_boar_2018-09-01,40223_5_boar_2019-01-01,40223_6_boar_2019-07-01,40223_7_boar_2020-02-01,40223_8_boar_2020-02-01,40232040_0_cattle_2016-07-01,40232040_1_cattle_2016-03-01,40232040_2_cattle_2016-03-01,40232040_3_cattle_2015-11-01,40232040_4_cattle_2016-03-01,40232040_5_cattle_2016-07-01,40232040_6_cattle_2016-03-01,40232_3_boar_2017-05-01,40232_4_boar_2018-03-01,45_d500_160_0_badger_2009-05-01,45_d500_160_1_badger_2014-05-01,45_d500_187_0_badger_2013-07-01,45_d500_258_1_badger_2013-08-01,45_d500_258_2_badger_2016-07-01,45_d500_259_0_badger_2015-09-01,45_d500_259_1_badger_2014-04-01,45_d500_259_2_badger_2015-05-01,45_d500_99_866_2_badger_2010-10-01,64179004_1_cattle_2013-03-01,64254045_0_cattle_2013-03-01,64254045_1_cattle_2013-05-01,64254045_2_cattle_2013-05-01,64254045_3_cattle_2013-03-01,64254045_4_cattle_2013-03-01,64254045_5_cattle_2013-05-01,64254045_6_cattle_2013-05-01,64254045_7_cattle_2013-05-01,64254_0_boar_2012-03-01,64254_1_boar_2014-07-01,64254_2_boar_2013-09-01,64296002_0_cattle_2017-03-01,64296002_1_cattle_2017-03-01,64296002_2_cattle_2018-04-01,64296002_3_cattle_2018-07-01,64296002_4_cattle_2018-04-01,64296002_5_cattle_2018-04-01,64296002_6_cattle_2018-04-01,64296002_7_cattle_2018-07-01,64296002_8_cattle_2018-07-01,64296022_0_cattle_2014-04-01,64296_0_boar_2013-03-01,64296_1_boar_2016-12-01,64296_2_boar_2020-02-01,64310006_0_cattle_2011-05-01,64310006_10_cattle_2011-05-01,64310006_11_cattle_2011-05-01,64310006_12_cattle_2011-05-01,64310006_13_cattle_2011-05-01,64310006_14_cattle_2011-05-01,64310006_15_cattle_2011-05-01,64310006_16_cattle_2011-05-01,64310006_17_cattle_2011-05-01,64310006_18_cattle_2011-05-01,64310006_19_cattle_2011-05-01,64310006_1_cattle_2010-08-01,64310006_20_cattle_2011-01-01,64310006_21_cattle_2011-05-01,64310006_22_cattle_2011-05-01,64310006_23_cattle_2011-05-01,64310006_24_cattle_2011-05-01,64310006_25_cattle_2011-05-01,64310006_26_cattle_2011-05-01,64310006_27_cattle_2011-02-01,64310006_28_cattle_2011-05-01,64310006_29_cattle_2011-05-01,64310006_2_cattle_2011-05-01,64310006_30_cattle_2011-05-01,64310006_31_cattle_2011-05-01,64310006_32_cattle_2011-05-01,64310006_33_cattle_2011-04-01,64310006_34_cattle_2011-04-01,64310006_35_cattle_2011-05-01,64310006_36_cattle_2011-05-01,64310006_37_cattle_2011-05-01,64310006_38_cattle_2011-05-01,64310006_39_cattle_2011-05-01,64310006_3_cattle_2011-05-01,64310006_40_cattle_2011-05-01,64310006_41_cattle_2011-05-01,64310006_42_cattle_2011-05-01,64310006_43_cattle_2011-05-01,64310006_44_cattle_2011-05-01,64310006_45_cattle_2011-05-01,64310006_46_cattle_2011-05-01,64310006_47_cattle_2011-05-01,64310006_48_cattle_2011-05-01,64310006_49_cattle_2011-05-01,64310006_4_cattle_2011-05-01,64310006_5_cattle_2011-05-01,64310006_6_cattle_2010-02-01,64310006_7_cattle_2011-05-01,64310006_8_cattle_2011-05-01,64310006_9_cattle_2011-05-01,64310_0_boar_2009-07-01,64310_1_boar_2011-09-01,64310_2_boar_2009-10-01,64310_3_boar_2010-03-01,64310_4_boar_2009-10-01,64310_5_boar_2010-03-01,64310_6_boar_2011-01-01,64310_7_boar_2011-02-01,64310_8_boar_2012-03-01,64310_9_boar_2013-01-01,64382024_0_cattle_2016-05-01,64382024_1_cattle_2018-02-01,64382024_2_cattle_2018-03-01,64382_0_boar_2016-08-01,64382_1_boar_2017-09-01,64382_2_boar_2019-10-01,64420009_0_cattle_2008-10-01,64420012_3_cattle_2013-12-01,64420015_0_cattle_2007-05-01,64501025_0_cattle_2017-02-01,64501025_10_cattle_2017-05-01,64501025_11_cattle_2017-05-01,64501025_12_cattle_2017-05-01,64501025_13_cattle_2017-05-01,64501025_14_cattle_2017-05-01,64501025_15_cattle_2017-05-01,64501025_16_cattle_2017-05-01,64501025_17_cattle_2017-05-01,64501025_18_cattle_2017-05-01,64501025_19_cattle_2017-05-01,64501025_1_cattle_2017-03-01,64501025_20_cattle_2017-05-01,64501025_21_cattle_2017-05-01,64501025_2_cattle_2017-05-01,64501025_3_cattle_2017-05-01,64501025_4_cattle_2017-05-01,64501025_5_cattle_2017-05-01,64501025_6_cattle_2017-05-01,64501025_7_cattle_2017-05-01,64501025_8_cattle_2017-05-01,64501025_9_cattle_2017-05-01,64501_5_boar_2020-02-01,64501_6_boar_2018-01-01,64501_8_boar_2019-09-01,64501_9_boar_2017-11-01,64505014_0_cattle_2013-04-01,64505014_10_cattle_2013-04-01,64505014_11_cattle_2013-02-01,64505014_12_cattle_2013-04-01,64505014_1_cattle_2013-02-01,64505014_2_cattle_2013-04-01,64505014_3_cattle_2013-04-01,64505014_4_cattle_2013-01-01,64505014_5_cattle_2013-04-01,64505014_6_cattle_2013-02-01,64505014_7_cattle_2013-02-01,64505014_8_cattle_2013-02-01,64505014_9_cattle_2013-02-01,64510_4_boar_2015-07-01,64510_6_boar_2018-09-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153969206158768,0,0,0,0,0,0,0,0.00519896020795841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0.003399320135972806,0,0.001399720055988802,0,0,0.012597480503899207,0.005598880223955211,0.005598880223955211,0,0,0,0,0,0.009998000399920012,0,0,0.0035992801439712063,0.0017996400719856025,9.998000399920016e-4,0,0,0.002199560087982403,1.999600079984003e-4,0,0,0,0.0031993601279744054,0.005598880223955211,0.002199560087982403,0,0,0.001399720055988802,0,0,0,7.998400319936012e-4,0.01059788042391521,0,0.002999400119976005,0,0.01059788042391521,7.998400319936012e-4,0,0,0.0153969206158768,0,0.0153969206158768,0.0037992401519696068,0,0,0.006198760247950412,0.0011997600479904018,0,0,0,0,0,0,0,0,0.0167966406718656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0.001399720055988802,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017796440711857597,0,0,0,0,0,0,0,0.009998000399920012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005598880223955211,0,0,0,0.003399320135972806,0,5.998800239952009e-4,0.0017996400719856025,0,0.0037992401519696068,7.998400319936012e-4,0.011597680463907209,0.011797640471905608,0.0035992801439712063,0,0,0,5.998800239952009e-4,0,0.016996600679864,0.007998400319936016,0.0031993601279744054,0.001399720055988802,0.008398320335932815,0.004199160167966408,0,0,7.998400319936012e-4,0,9.998000399920016e-4,0.00539892021595681,0,0,0.0035992801439712063,0.006398720255948813,0.0045990801839632086,5.998800239952009e-4,0.0019996000799840027,0.0031993601279744054,9.998000399920016e-4,0,0.0037992401519696068,0.0067986402719456135,0,0.004799040191961609,0,0.02059588082383519,0,0.006398720255948813,0,0.013997200559888004,0,0.022595480903819187,0.011997600479904008,0.010397920415916811,0.011597680463907209,0,0.011797640471905608,0,9.998000399920016e-4,0,0,0,0,0,0,0.017396520695860798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0.001399720055988802,0,7.998400319936012e-4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161967606478704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028194361127774376,0,0,0,0,0.018196360727854397,0.033193361327734365,0,0,0,0,0,0,0,0,0,0,0.03639272145570876,0,0,0,0,0,0,0.024395120975804784,0,0.05478904219156152,0,0,0,0.05598880223955192,0,0,0,0,0,0,0,0,0.0027994401119776045,0,0,0,0.033193361327734365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002999400119976005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043191361727654344,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09418116376724733,0,0,0,0,0,0,0,0.003999200159968007,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14777044591082028,5.998800239952009e-4,0,0.014997000599880001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015196960607878401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05338932213557272,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004799040191961609,0,0,0,0.4877024595080784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1731653669266179,0,0.20475904819036614,0.012197560487902407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12317536492701628,0,0,0,0.04639072185562874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09498100379924096,0,0,0.11417716456708799,0.20715856828634702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03219356128774237,0.374525094980996,0,0.04639072185562874,0,0,0.003999200159968007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013397320535892805,0.013997200559888004,0,0,0.007598480303939215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038592281543691154,0.0023995200959808036
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008598280343931215,0.0049990001999600095,0,0.0015996800639872023,0.2693461307738488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4443111377724302,0.44371125774843506,0,0,0.03699260147970396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05538892221555672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003399320135972806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006398720255948813,0,0,0,0,0,0,0,0.01099780043991201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002199560087982403,0,0,0,0,0,0,0.0019996000799840027,0.009998000399920012,0,0,0,0,0,0,0.011597680463907209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005598880223955211,0,0,0,0,0,0,0.0031993601279744054,5.998800239952009e-4,0,0,0,0.01079784043191361,0,0,0,0,0.0011997600479904018,0.002199560087982403,0.013397320535892805,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008798240351929614,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0,0,0,0,0.009198160367926414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005598880223955211,0,0,0,0,0,7.998400319936012e-4,0.006398720255948813,0,0.005798840231953611,0,0,0,0,0,0,0,0,0,0,0.007398520295940815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
